Method: POST, Path: /api/users/login, Date: 28/11/2023, Time: 15:09:59
Method: GET, Path: /api/users/, Date: 28/11/2023, Time: 15:10:16
Method: GET, Path: /api/categories/, Date: 28/11/2023, Time: 15:10:23
Method: GET, Path: /api/categories/, Date: 28/11/2023, Time: 15:10:35
Method: GET, Path: /api/categories/655dde58e389e41174119038, Date: 28/11/2023, Time: 15:10:47
Method: POST, Path: /api/categories/, Date: 28/11/2023, Time: 15:11:26
Method: DELETE, Path: /api/categories/6565d8ee576eab7d8ceb97b1, Date: 28/11/2023, Time: 15:11:36
Method: DELETE, Path: /api/categories, Date: 28/11/2023, Time: 15:12:22
Method: GET, Path: /api/categories, Date: 28/11/2023, Time: 15:12:34
Method: GET, Path: /api/categories, Date: 28/11/2023, Time: 15:12:48
Method: GET, Path: /api/categories, Date: 28/11/2023, Time: 15:13:01
